Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
33,Colombia,Latin America And Caribbean,0.06200782268578878,0.5434381293913642,0.08862124248496994,0.5434782608695652,0.08255635987590486,0.002342451874366768,0.09324049331963001,2015
34,Thailand,Southeast Asia,0.061720990873533235,0.572005872152676,0.09039779559118236,0.5652173913043479,0.0859503619441572,0.0733647416413374,0.09684069886947586,2015
35,Saudi Arabia,Middle East And North Africa,0.06114732724902215,0.8255054631420418,0.7745490981963927,0.5652173913043479,0.04794105480868666,0.017447821681864237,0.004220966084275437,2015
36,Spain,Western Europe,0.060078226857887856,0.00727718920691938,0.09388076152304609,0.7391304347826086,0.007095139607032059,0.023203647416413377,0.09086022610483042,2015
37,Malta,Western Europe,0.05972620599739242,0.7142815713208545,0.09304008016032063,0.6956521739130435,0.09320889348500518,0.06588044579533942,0.07747687564234328,2015
38,Taiwan,East Asia,0.05967405475880051,0.76372785692428,0.0769008016032064,0.6739130434782608,0.06136297828335058,0.03230395136778116,0.08763720452209661,2015
39,Kuwait,Middle East And North Africa,0.05963494132985657,0.9194529057755502,0.08331563126252504,0.5652173913043479,0.08569596690796277,0.0020658561296859174,0.055086330935251795,2015
40,Suriname,Latin America And Caribbean,0.05929595827900912,0.5888303095880494,0.0694569138276553,0.4782608695652173,0.0921158221302999,0.02162917933130699,0.07738746145940391,2015
41,Trinidad And Tobago,Latin America And Caribbean,0.057979139504563224,0.7169046395206276,0.08457314629258517,0.4782608695652173,0.08629058945191313,0.004053698074974671,0.10065159301130525,2015
42,El Salvador,Latin America And Caribbean,0.05748370273794001,0.4522937596377506,0.07324949899799597,0.5217391304347825,0.062304033092037234,0.01361195542046606,0.0808458376156218,2015
43,Guatemala,Latin America And Caribbean,0.05739243807040416,0.44104646720814744,0.07457114228456913,0.5,0.08914477766287487,0.03499392097264438,0.08513669064748201,2015
44,Uzbekistan,Commonwealth Of Independent States,0.055827900912646666,0.3741407276589191,0.09578456913827654,0.4565217391304348,0.010163391933815926,0.02907193515704154,0.045372045220966085,2015
45,Slovakia,Central And Eastern Europe,0.05572359843546283,0.6915099792594608,0.090750501002004,0.6086956521739131,0.04902688728024819,0.02150455927051672,0.09638643371017473,2015
46,Japan,East Asia,0.055619295958279,0.07517495454881827,0.08983066132264528,0.7826086956521738,0.07660910031023786,0.013628166160081055,0.06914388489208634,2015
47,South Korea,East Asia,0.055580182529335054,0.7362911435697329,0.06843787575150301,0.7608695652173914,0.05127714581178904,0.02362310030395137,0.08814388489208633,2015
48,Ecuador,Latin America And Caribbean,0.05546284224250324,0.05111432897255329,0.07138877755511021,0.6086956521739131,0.07500310237849019,0.014691995947315097,0.06908941418293937,2015
49,Bahrain,Middle East And North Africa,0.055267275097783564,0.7831193611033888,0.08690981963927856,0.5869565217391304,0.0702430196483971,0.02210233029381966,0.0457934224049332,2015
50,Italy,Western Europe,0.05511082138200782,0.7401552440363449,0.08559018036072143,0.7391304347826086,0.04051085832471562,0.02905369807497467,0.09737307297019528,2015
51,Bolivia,Latin America And Caribbean,0.054354628422425014,0.40306747975447366,0.06991482965931864,0.4130434782608696,0.08865253360910032,0.026142857142857145,0.0863884892086331,2015
52,Moldova,Commonwealth Of Independent States,0.054341590612777046,0.3516831437617378,0.07254909819639277,0.4782608695652173,0.05067425025853155,0.026671732522796355,0.0997677286742035,2015
53,Paraguay,Latin America And Caribbean,0.05419817470664927,0.44951468738187195,0.009323647294589177,0.5217391304347825,0.08322440537745605,0.04358763931104357,0.08742754367934223,2015
54,Kazakhstan,Commonwealth Of Independent States,0.05389830508474576,0.6640792660609176,0.08020541082164329,0.5,0.07975077559462256,0.0015055724417426546,0.08703288797533403,2015
55,Slovenia,Central And Eastern Europe,0.05380704041720989,0.701016226421887,0.0910260521042084,0.6739130434782608,0.09396587383660807,0.032243161094224926,0.09572353545734841,2015
56,Lithuania,Central And Eastern Europe,0.05361147327249022,0.06786876458787929,0.08985470941883766,0.5652173913043479,0.03295449844881076,0.0033617021276595746,0.1008540596094553,2015
57,Nicaragua,Latin America And Caribbean,0.05354628422425031,0.3509561248592464,0.00815931863727455,0.5869565217391304,0.08565770423991728,0.035409321175278625,0.0006680369989722508,2015
58,Peru,Latin America And Caribbean,0.0534941329856584,0.5325388460099962,0.06964228456913828,0.5652173913043479,0.06407342295760084,0.019071935157041545,0.09162178828365879,2015
59,Belarus,Commonwealth Of Independent States,0.053350717079530624,0.6104708722426784,0.08809919839679359,0.5652173913043479,0.05857911065149949,0.014061803444782169,0.06722610483042138,2015
60,Poland,Central And Eastern Europe,0.053063885267275096,0.6658593123421209,0.09142885771543086,0.6086956521739131,0.08202481902792141,0.02133434650455927,0.0949321685508736,2015
61,Malaysia,Southeast Asia,0.05279009126466752,0.6654523017598457,0.0764759519038076,0.5652173913043479,0.08187383660806619,0.04210536980749747,0.08322096608427544,2015
62,Croatia,Central And Eastern Europe,0.05264667535853976,0.6404146507809203,0.05689779559118236,0.6086956521739131,0.039965873836608067,0.6930091185410335,0.0982497430626927,2015
63,Libya,Middle East And North Africa,0.05258148631029985,0.06693474030324789,0.07993386773547094,0.5434782608695652,0.06433919338159257,0.023289766970618034,0.08224871531346352,2015
64,Russia,Commonwealth Of Independent States,0.052086049543676655,0.6730144983769578,0.08833366733466932,0.5217391304347825,0.05663495346432265,0.025329280648429587,0.09717882836587874,2015
65,Jamaica,Latin America And Caribbean,0.05199478487614079,0.47940746459407946,0.08224949899799598,0.5434782608695652,0.0778862461220269,0.02702634245187437,0.09849434737923946,2015
66,North Cyprus,Western Europe,0.051812255541069094,0.7146705814351174,0.07646593186372745,0.7173913043478259,0.07570217166494313,0.03331408308004053,0.07618293936279548,2015
67,Cyprus,Western Europe,0.05173402868318122,0.7147105824751444,0.06382464929859719,0.7173913043478259,0.06280144777662876,0.03900303951367782,0.09132990750256938,2015
68,Algeria,Middle East And North Africa,0.05063885267275098,0.555671447457634,0.07701102204408818,0.4782608695652173,0.0441282316442606,0.009957446808510639,0.0704049331963001,2015
69,Kosovo,Central And Eastern Europe,0.05043024771838331,0.4741443277525216,0.05802204408817635,0.5,0.038214064115822136,0.0036038500506585616,0.009394655704008222,2015
70,Turkmenistan,Commonwealth Of Independent States,0.049895697522816154,0.567020742539306,0.08765631262525049,0.4130434782608696,0.0735129265770424,0.021613981762917935,0.04533915724563207,2015
71,Mauritius,Sub-Saharan Africa,0.04897001303780964,0.5960864982489545,0.00704008016032064,0.5434782608695652,0.08657083764219235,0.04804964539007092,0.08876978417266188,2015
72,Hong Kong,East Asia,0.04893089960886571,0.08199613189942939,0.07561523046092183,0.7826086956521738,0.0920403309203723,0.05025531914893617,0.033644398766700924,2015
73,Estonia,Central And Eastern Europe,0.04834419817470664,0.6813557152485965,0.08774348697394789,0.6086956521739131,0.06931023784901758,0.011049645390070924,0.07449948612538541,2015
74,Indonesia,Southeast Asia,0.047953063885267266,0.48999373983723576,0.07768036072144288,0.5,0.07197207859358842,0.0656048632218845,0.0010277492291880781,2015
75,Vietnam,Southeast Asia,0.04744458930899609,0.37397672339480825,0.06518837675350701,0.5869565217391304,0.09178697001034127,0.021463019250253294,0.08333196300102774,2015
76,Turkey,Middle East And North Africa,0.04707953063885266,0.6276633192463005,0.06762224448897794,0.5652173913043479,0.035228541882109624,0.015598784194528877,0.07345426515930113,2015
77,Kyrgyzstan,Commonwealth Of Independent States,0.046479791395045614,0.2805762949836696,0.08225851703406813,0.5,0.06713340227507757,0.0382289766970618,0.09489516957862282,2015
78,Nigeria,Sub-Saharan Africa,0.046245110821381996,0.38710506473168305,0.06462024048096192,0.13043478260869568,0.05301447776628749,0.03466869300911855,0.09526927029804728,2015
79,Bhutan,South Asia,0.04604954367666231,0.4557708500421011,0.07888577154308617,0.4347826086956521,0.0821551189245088,0.06110233029381966,0.07401438848920865,2015
80,Azerbaijan,Commonwealth Of Independent States,0.04551499348109517,0.6057177486614652,0.06702304609218436,0.5,0.005717683557394003,0.09929078014184398,0.07285817060637205,2015
81,Pakistan,South Asia,0.045280312907431536,0.35224515837411774,0.029591182364729456,0.3913043478260869,0.018685625646328852,0.04286322188449848,0.008328879753340184,2015
82,Montenegro,Central And Eastern Europe,0.04525423728813559,0.5764299871796666,0.06471042084168337,0.5652173913043479,0.028194415718717687,0.020546099290780145,0.07615416238437821,2015
83,Jordan,Middle East And North Africa,0.04525423728813559,0.5335968735187114,0.007531062124248497,0.5434782608695652,0.06278490175801449,0.014069908814589667,0.07615827338129497,2015
84,China,East Asia,0.04457627118644067,0.5265796910719679,0.06765230460921842,0.6304347826086956,0.07982523267838677,0.010420466058763933,0.09759609455292909,2015
85,Zambia,Sub-Saharan Africa,0.04443285528031289,0.27826823497410935,0.06546392785571141,0.23913043478260865,0.07539296794208894,0.02493920972644377,0.007955806783144913,2015
86,Romania,Central And Eastern Europe,0.044367666232073,0.6172880494892868,0.06330260521042083,0.6086956521739131,0.054147880041365046,0.017501519756838908,0.10156731757451183,2015
87,Serbia,Central And Eastern Europe,0.04435462842242502,0.5445721588761308,0.07214729458917835,0.5869565217391304,0.03104653567735264,0.024481256332320164,0.09790133607399794,2015
88,Portugal,Western Europe,0.04408083441981746,0.6861868408578623,0.08141583166332665,0.6739130434782608,0.007947259565667011,0.017465045592705168,0.1007677286742035,2015
89,Latvia,Central And Eastern Europe,0.04402868318122555,0.6585061211591502,0.07829058116232464,0.5652173913043479,0.045814891416752844,0.232016210739615,0.09098355601233299,2015
90,Philippines,Southeast Asia,0.043702737940026076,0.4172598487560677,0.07396993987975951,0.4565217391304348,0.09657497414684593,0.3181357649442756,0.07991058581706063,2015
91,Somaliland Region,Sub-Saharan Africa,0.04349413298565841,0.11149389884136988,0.06799398797595191,0.34782608695652173,0.07192657704239917,0.06405572441742655,0.028421377183967114,2015
92,Morocco,Middle East And North Africa,0.04292046936114731,0.434692301999852,0.04580060120240481,0.4782608695652173,0.06437538779731128,0.009129685916919959,0.08686125385405961,2015
93,Macedonia,Central And Eastern Europe,0.04284224250325944,0.5433751277533216,0.07162424849699398,0.5652173913043479,0.051660806618407454,0.028463019250253296,0.09285508735868449,2015
94,Mozambique,Sub-Saharan Africa,0.04237288135593219,0.04915027790722559,0.07333466933867736,0.06521739130434778,0.05255532574974147,0.0028348530901722395,0.07371942446043166,2015
95,Albania,Central And Eastern Europe,0.04221642764015644,0.5198115150993926,0.05747595190380761,0.6304347826086956,0.05517476732161324,0.01816919959473151,0.09083350462487154,2015
96,Bosnia And Herzegovina,Central And Eastern Europe,0.042086049543676646,0.4923368007568197,0.06568036072144288,0.6086956521739131,0.014275077559462255,0.03158156028368794,0.10235251798561151,2015
97,Lesotho,Sub-Saharan Africa,0.04142112125162971,0.22211177490614756,0.07438977955911823,0.04347826086956519,0.0490517063081696,0.020862208713272545,0.0794912641315519,2015
98,Dominican Republic,Latin America And Caribbean,0.04125162972620598,0.5296887719080696,0.083750501002004,0.5217391304347825,0.0890506721820062,0.027603850050658563,0.07626824254881809,2015
99,Laos,Southeast Asia,0.04113428943937418,0.34942508505221137,0.05273747494989979,0.4347826086956521,0.0920134436401241,0.05371023302938197,0.057618705035971225,2015
100,Mongolia,East Asia,0.04110821382007822,0.04899427385112013,0.09293787575150299,0.4565217391304348,0.006736297828335057,0.042301925025329284,0.00978108941418294,2015
101,Swaziland,Sub-Saharan Africa,0.041016949152542365,0.42124695242076293,0.07666232464929859,0.04347826086956519,0.04733919338159256,0.023244174265450862,0.09707708119218911,2015
102,Greece,Western Europe,0.04088657105606257,0.6827257508695226,0.06640781563126252,0.6956521739130435,0.01188728024819028,0.0,0.10017368961973278,2015
103,Lebanon,Middle East And North Africa,0.04065189048239895,0.6067547756241662,0.05716733466933867,0.6521739130434783,0.052369183040330926,0.02782066869300912,0.09424254881808838,2015
104,Hungary,Central And Eastern Europe,0.04014341590612776,0.6631352415162795,0.08590280561122243,0.5869565217391304,0.04958428128231645,0.01629483282674772,0.097639260020555,2015
105,Honduras,Latin America And Caribbean,0.03998696219035201,0.35218215673607517,0.06813426853707415,0.5434782608695652,0.06199276111685626,0.029314083080040527,0.09006577595066804,2015
106,Tajikistan,Commonwealth Of Independent States,0.03996088657105605,0.230997005922154,0.06114128256513025,0.4347826086956521,0.7290589451913134,0.02924620060790274,0.07470811921891059,2015
107,Tunisia,Middle East And North Africa,0.03934810951760104,0.5212665529303763,0.043181362725450895,0.5652173913043479,0.04056049638055843,0.008187436676798379,0.009093525179856116,2015
108,Palestinian Territories,Middle East And North Africa,0.039035202086049534,0.35416720834741705,0.06613927855711423,0.5217391304347825,0.003782833505687694,0.014322188449848025,0.07874409044193216,2015
109,Bangladesh,South Asia,0.03876140808344197,0.23517211447497635,0.030802605210420837,0.4565217391304348,0.006302998965873836,0.027015197568389063,0.07936896197327852,2015
110,Iran,Middle East And North Africa,0.03865710560625814,0.5967895165274297,0.038906813627254504,0.5434782608695652,0.0463733195449845,0.04848328267477204,0.09185817060637205,2015
111,Ukraine,Commonwealth Of Independent States,0.03859191655801825,0.47271729064955686,0.08594789579158316,0.5217391304347825,0.038792140641158226,0.019444782168186424,0.09726104830421378,2015
112,Iraq,Middle East And North Africa,0.03853976531942632,0.05830051581341115,0.058516032064128254,0.4565217391304348,0.0,0.022814589665653497,0.07709969167523124,2015
113,South Africa,Sub-Saharan Africa,0.03808344198174707,0.5445501583041159,0.08465531062124249,0.21739130434782616,0.05127404343329887,0.015242147922998989,0.08623124357656732,2015
114,Ghana,Sub-Saharan Africa,0.03796610169491525,0.3227563916661833,0.04855811623246493,0.30434782608695654,0.06537952430196485,0.02939007092198582,0.09466495375128468,2015
115,Zimbabwe,Sub-Saharan Africa,0.03766623207301173,0.16031816827237508,0.07379859719438876,0.26086956521739135,0.03993174767321613,0.024171225937183384,0.08772970195272355,2015
116,Liberia,Sub-Saharan Africa,0.03715775749674054,0.0042121095148473855,0.05642885771543086,0.26086956521739135,0.44053774560496384,0.0031013171225937183,0.09116957862281604,2015
117,India,South Asia,0.03707953063885268,0.3815679207659399,0.02727755511022044,0.3913043478260869,0.061433298862461225,0.03370314083080041,0.08696197327852005,2015
118,Sudan,Sub-Saharan Africa,0.036883963494132976,0.3082600147603838,0.07246092184368737,0.28260869565217384,0.015566701137538781,0.002426545086119554,0.07547482014388489,2015
119,Haiti,Latin America And Caribbean,0.03646675358539764,0.1577951026726695,0.053094188376753504,0.30434782608695654,0.003771458117890383,0.05879635258358663,0.007079136690647482,2015
120,Congo (Kinshasa),Sub-Saharan Africa,0.03645371577574967,0.0,0.7154308617234468,0.06521739130434778,0.034904860392967946,0.031613981762917936,0.08857656731757452,2015
121,Nepal,South Asia,0.03641460234680573,0.21295253676595594,0.061774549098196394,0.4347826086956521,0.05911168562564634,0.041112462006079036,0.09177595066803701,2015
122,Ethiopia,Sub-Saharan Africa,0.036388526727509765,0.11283193363027438,0.04316432865731463,0.34782608695652173,0.06709100310237849,0.03096555217831814,0.07475436793422406,2015
123,Sierra Leone,Sub-Saharan Africa,0.036323337679269874,0.01953650794920668,0.06829258517034067,0.0,0.006306101344364013,0.027354609929078014,0.0864141829393628,2015
124,Mauritania,Sub-Saharan Africa,0.03539765319426336,0.2686189840935865,0.062102204408817634,0.28260869565217384,0.037416752843846955,0.027878419452887538,0.07025899280575539,2015
125,Kenya,Sub-Saharan Africa,0.035176010430247706,0.21575660967185148,0.07136973947895792,0.326086956521739,0.06518407445708377,0.04779229989868288,0.09190236382322714,2015
126,Djibouti,Sub-Saharan Africa,0.03452411994784875,0.026044677161606203,0.042307615230460914,0.28260869565217384,0.0711427094105481,0.023032421479229993,0.05043884892086331,2015
127,Armenia,Commonwealth Of Independent States,0.03427640156453715,0.45446381605921754,0.005553106212424849,0.5652173913043479,0.030646328852119962,1.0,0.09551181911613567,2015
128,Botswana,Sub-Saharan Africa,0.03404172099087352,0.5877672819493307,0.07893486973947896,0.021739130434782594,0.0764250258531541,0.013316109422492403,0.07954573484069886,2015
129,Myanmar,Southeast Asia,0.03371577574967405,0.01603641694684062,0.050667334669338676,0.36956521739130443,0.06796587383660807,0.0010131712259371835,0.06733093525179856,2015
130,Georgia,Commonwealth Of Independent States,0.03358539765319425,0.43889741133269466,0.2755511022044088,0.5652173913043479,0.0626556359875905,0.0070607902735562314,0.0313967112024666,2015
131,Malawi,Sub-Saharan Africa,0.03352020860495436,0.00948724666841338,0.0293937875751503,0.17391304347826075,0.06647880041365047,0.04217223910840932,0.08978314491264132,2015
132,Sri Lanka,South Asia,0.0332464146023468,0.49411484698602165,0.07281963927855711,0.5434782608695652,0.008295760082730095,0.05197365754812564,0.008568345323741008,2015
133,Cameroon,Sub-Saharan Africa,0.03299869621903519,0.2499444985569625,0.06343086172344689,0.17391304347826075,0.07613753877973113,0.026247213779128673,0.09200102774922919,2015
134,Bulgaria,Central And Eastern Europe,0.0325554106910039,0.5987775682167736,0.07904208416833666,0.5869565217391304,0.04722957600827301,0.015175278622087134,0.010115107913669066,2015
135,Egypt,Middle East And North Africa,0.03224250325945241,0.5216575630966406,0.05337875751503005,0.4782608695652173,0.026693898655635987,0.014372847011144885,0.09099794450154162,2015
136,Yemen,Middle East And North Africa,0.030717079530638843,0.3232964057065484,0.004865731462925851,0.30434782608695654,0.05492450879007239,0.011624113475177307,0.08814902363823228,2015
137,Angola,Sub-Saharan Africa,0.030143415906127766,0.4482946556610472,0.06148196392785571,0.13043478260869568,0.016034126163391935,0.0015714285714285715,0.08951387461459404,2015
138,Mali,Sub-Saharan Africa,0.029647979139504562,0.15425301057827503,0.007397795591182364,0.15217391304347827,0.05999896587383661,0.023930091185410337,0.007977389516957862,2015
139,Congo (Brazzaville),Sub-Saharan Africa,0.029569752281616683,0.40148643864740485,0.0473687374749499,0.23913043478260865,0.06402792140641159,0.01577001013171226,0.08101438848920864,2015
140,Comoros,Sub-Saharan Africa,0.02913950456323337,0.14142267698960176,0.05664729458917835,0.28260869565217384,0.0353857290589452,0.02220263424518744,0.06571736896197328,2015
141,Uganda,Sub-Saharan Africa,0.02881355932203389,0.12483824579439065,0.08096092184368738,0.26086956521739135,0.07060703205791106,0.03700202634245188,0.08924357656731757,2015
142,Senegal,Sub-Saharan Africa,0.028461538461538458,0.21591461377995827,0.0697565130260521,0.326086956521739,0.056778697001034134,0.026532928064842958,0.08282528263103803,2015
143,Gabon,Sub-Saharan Africa,0.028357235984354624,0.6272203077280009,0.006468937875751503,0.326086956521739,0.049279214064115825,0.008683890577507599,0.08212230215827339,2015
144,Niger,Sub-Saharan Africa,0.027692307692307686,0.041056067457753906,0.055211422845691374,0.21739130434782616,0.0073640124095139614,0.024679837892603855,0.07365262076053443,2015
145,Cambodia,Southeast Asia,0.027353324641460227,0.2723540812061114,0.004482965931863727,0.4782608695652173,0.10228955532574975,0.005137791286727457,0.08927954779033916,2015
146,Tanzania,Sub-Saharan Africa,0.026857887874837023,0.168720386730055,0.07164929859719438,0.30434782608695654,0.05076628748707343,0.0437629179331307,0.09207399794450154,2015
147,Madagascar,Sub-Saharan Africa,0.02555410691003911,0.12319520307527995,0.04773446893787575,0.36956521739130443,0.029621509824198554,0.027158054711246202,0.00876464542651593,2015
148,Central African Republic,Sub-Saharan Africa,0.025514993481095167,0.04644020744539358,0.0,0.04347826086956519,0.0754746639089969,0.03034245187436677,0.08733915724563206,2015
149,Chad,Sub-Saharan Africa,0.025371577574967396,0.20228025928674148,0.054351703406813626,0.10869565217391308,0.003628748707342296,0.023406281661600813,0.09296402877697842,2015
150,Guinea,Sub-Saharan Africa,0.025228161668839632,0.10303467890165144,0.03321042084168336,0.17391304347826075,0.05825129265770424,0.03648024316109423,0.08017060637204522,2015
151,Ivory Coast,Sub-Saharan Africa,0.02521512385919165,0.2752911575700968,0.05510420841683366,0.10869565217391308,0.07236504653567737,0.025670719351570417,0.06940184994861255,2015
152,Burkina Faso,Sub-Saharan Africa,0.02432855280312907,0.15269697012122316,0.06087374749498998,0.21739130434782616,0.06098035160289556,0.027683890577507603,0.007887975334018499,2015
153,Afghanistan,South Asia,0.024172099087353325,0.1892019192499005,0.021641282565130256,0.23913043478260865,0.0036153050672182007,0.04647821681864236,0.08467728674203495,2015
154,Rwanda,Sub-Saharan Africa,0.022737940026075616,0.13137841583881182,0.05528657314629258,0.326086956521739,0.09141158221302999,0.028805471124620063,0.0,2015
155,Benin,Sub-Saharan Africa,0.021108213820078218,0.16958140911663705,0.025286573146292585,0.23913043478260865,0.07481075491209928,0.023245187436676803,0.08785919835560123,2015
156,Syria,Middle East And North Africa,0.016753585397653186,0.3923392008192213,0.03393486973947895,0.5652173913043479,0.024217166494312308,0.0600597771023303,0.0675693730729702,2015
157,Burundi,Sub-Saharan Africa,0.015436766623207292,0.009053235384119989,0.02971743486973948,0.17391304347826075,0.018296794208893487,0.02511246200607903,0.08403802672147996,2015
158,Togo,Sub-Saharan Africa,0.014576271186440674,0.12344920967945167,0.9999999999999999,0.21739130434782616,0.05628645294725957,0.021235055724417428,0.08279136690647482,2015
111,Sierra Leone,Sub-Saharan Africa,0.0379921773142112,0.9443925542064094,0.05318036072144288,0.10869565217391308,0.052149948293691836,0.029536980749746707,0.01667317574511819,2016
144,Chad,Sub-Saharan Africa,0.026623207301173398,0.9421574960948985,0.0535,0.15217391304347827,0.021766287487073422,0.02307193515704154,0.01007502569373073,2016
139,Ivory Coast,Sub-Saharan Africa,0.028617992177314203,0.9978879450865723,0.0487565130260521,0.15217391304347827,0.06910754912099276,0.025137791286727457,0.03159198355601234,2016
141,Angola,Sub-Saharan Africa,0.027966101694915247,0.09923057999507987,0.05619939879759519,0.15217391304347827,1.0,0.014919959473150965,0.017157245632065776,2016
103,Nigeria,Sub-Saharan Africa,0.0411212516297262,0.9700412210717478,0.054618236472945884,0.15217391304347827,0.04733815925542917,0.02869807497467072,0.0062045220966084275,2016
76,Somalia,Sub-Saharan Africa,0.04848761408083442,0.0,0.028463927855711422,0.21739130434782616,0.09649534643226475,0.033650455927051674,0.06342959917780061,2016
114,Cameroon,Sub-Saharan Africa,0.036401564537157746,0.9621630162384223,0.05296192384769539,0.21739130434782616,0.07263081695966908,0.02803242147922999,0.012462487153134635,2016
157,Burundi,Sub-Saharan Africa,0.015436766623207292,0.7365941514479377,0.019851703406813626,0.26086956521739135,0.0734229576008273,0.0250790273556231,0.01916032887975334,2016
